SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,817 Guerrero St,San Francisco,CA,94110,2600000,2,2.0,Eureka Valley/Dolore,,2495,1900,51,,,Active,,,http://www.redfin.com/CA/San-Francisco/817-Guerrero-St-94110/home/1711073,San Francisco MLS,497382,N,Y,37.758045,-122.4232997
MLS Listing,,Condo/Co-op,1875 Mission St #108,San Francisco,CA,94103,649000,0,1.0,Inner Mission,619,,2014,60,1048,526,Active,,,http://www.redfin.com/CA/San-Francisco/1875-Mission-St-94103/unit-108/home/109687083,San Francisco MLS,495775,N,Y,37.7671013,-122.4194461
MLS Listing,,Condo/Co-op,221 Clara St #1,San Francisco,CA,94107,1175000,2,2.5,South of Market,1518,,2000,62,774,471,Active,,,http://www.redfin.com/CA/San-Francisco/221-Clara-St-94107/unit-1/home/12397083,San Francisco MLS,495883,N,Y,37.7789397,-122.4027541
MLS Listing,,Condo/Co-op,407 Miguel St,San Francisco,CA,94131,649000,1,1.0,Glen Park,,,1890,64,,245,Active,,,http://www.redfin.com/CA/San-Francisco/407-Miguel-St-94131/home/110052584,San Francisco MLS,497214,N,Y,37.73668,-122.426822
MLS Listing,,Condo/Co-op,1477 Dolores St #1477,San Francisco,CA,94110,1598000,2,2.0,Noe Valley,1483,,1906,64,1078,345,Active,,,http://www.redfin.com/CA/San-Francisco/1477-Dolores-St-94110/home/1856876,San Francisco MLS,497073,N,Y,37.7458186,-122.4241859
MLS Listing,,Condo/Co-op,51 Innes Ct #207,San Francisco,CA,94124,699777,1,1.0,San Francisco,720,,2017,77,972,504,Active,,,http://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/unit-207/home/160765879,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901285,N,Y,37.7272117,-122.367848
MLS Listing,,Multi-Family (2-4 Unit),2437-2441 Post St,San Francisco,CA,94115,2149000,9,3.0,Lower Pacific Height,4260,3438,1895,197,504,,Active,,,http://www.redfin.com/CA/San-Francisco/2437-Post-St-94115/home/1260982,San Francisco MLS,493030,N,Y,37.7837411,-122.4419644
Redfin Data,,Condo/Co-op,1781 Oak St #3,San Francisco,CA,94117,1049000,2,1.0,San Francisco,772,,1924,1,1359,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/1781-Oak-St-94117/unit-3/home/69371364,Coming Soon,58149,N,Y,37.7714744,-122.4485572
Redfin Data,,Multi-Family (2-4 Unit),28 Santa Marina St,San Francisco,CA,94110,1250000,3,2.0,San Francisco,1436,2500,1977,1,870,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/28-Santa-Marina-St-94110/home/1986126,Coming Soon,58148,N,Y,37.7401767,-122.4225598
Redfin Data,,Condo/Co-op,4349 18th St,San Francisco,CA,94114,1450000,2,2.5,San Francisco,1209,,1904,2,1199,398,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/4349-18th-St-94114/home/675926,Coming Soon,58095,N,Y,37.7605142,-122.4380156
Redfin Data,,Condo/Co-op,117 Diamond Cove Ter,San Francisco,CA,94134,949000,2,2.5,San Francisco,1368,,2012,16,694,,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/117-Diamond-Cove-Ter-94134/home/45438563,Coming Soon,57226,N,Y,37.7130704,-122.3941746
Redfin Data,,Condo/Co-op,5301 Mission St #4,San Francisco,CA,94112,779000,2,2.0,San Francisco,1018,,2001,52,765,307,Pre On-Market,,,http://www.redfin.com/CA/San-Francisco/5301-Mission-St-94112/unit-4/home/1143563,Coming Soon,55204,N,Y,37.7143074,-122.4426364
MLS Listing,,Single Family Residential,1222 43rd Ave,San Francisco,CA,94122,949000,2,1.0,Outer Sunset,1075,3000,1924,1,883,,Active,,,http://www.redfin.com/CA/San-Francisco/1222-43rd-Ave-94122/home/1022114,San Francisco MLS,500548,N,Y,37.7638278,-122.5027416
MLS Listing,,Single Family Residential,1670 Newcomb Ave,San Francisco,CA,94124,850000,2,1.0,Bayview,1041,2495,1936,1,817,,Active,,,http://www.redfin.com/CA/San-Francisco/1670-Newcomb-Ave-94124/home/1293140,San Francisco MLS,500532,N,Y,37.7362275,-122.3909974
MLS Listing,,Condo/Co-op,10 South Park St #9,San Francisco,CA,94107,1399000,2,1.75,South Beach,1145,,1993,1,1222,792,Active,,,http://www.redfin.com/CA/San-Francisco/10-S-Park-St-94107/unit-9/home/12395981,San Francisco MLS,500541,N,Y,37.782357,-122.3935037
MLS Listing,,Vacant Land,7 Edgar Pl,SAN FRANCISCO,CA,94112,699000,,,SAN FRANCISCO,,4258,,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/7-Edgar-Pl-94112/home/110066311,MLSListings,ML81798496,N,Y,37.7205952,-122.4524539
MLS Listing,,Condo/Co-op,401 Harrison St Unit 24G,San Francisco,CA,94105,1149000,1,1.0,South Beach,760,,2014,1,1512,1225,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-24G/home/144064233,San Francisco MLS,499571,N,Y,37.7864989,-122.3921487
MLS Listing,,Multi-Family (5+ Unit),888 Waller St,San Francisco,CA,94117,3750000,12,,Buena Vista Park,5820,2400,1900,1,644,,Active,,,http://www.redfin.com/CA/San-Francisco/888-Waller-St-94117/home/1853279,San Francisco MLS,500543,N,Y,37.7703816,-122.4383084
