id,property_type,address,city,state,zip,price,beds,baths,neighborhoods,sq-foot,price_sqfoot,hoa_month,lat,lng,built_year,coordinates
92,Condo/Co-op,1080 Chestnut St Unit 11B,San Francisco,CA,94109,3395000,3,2.5,Russian Hill,2105,1613,3122,37.803057,-122.4210212,1962,"37.803057,-122.42102120000001"
93,Condo/Co-op,49 Zoe St #6,San Francisco,CA,94107,879000,1,1.5,South Beach,987,891,550,37.7800761,-122.3960123,1997,"37.7800761,-122.3960123"
94,Single Family Residential,537 Magellan Ave,San Francisco,CA,94116,2275000,5,3.5,Forest Hill,2944,773,,37.7440274,-122.4669143,1920,"37.7440274,-122.4669143"
95,Condo/Co-op,436-440 Scott St #438,San Francisco,CA,94117,1549000,3,2.5,Hayes Valley,1354,1144,350,37.7738902,-122.4355022,1895,"37.7738902,-122.43550220000002"
96,Condo/Co-op,1300 22nd St #107,San Francisco,CA,94107,795000,1,1,Potrero Hill,565,1407,568,37.7578379,-122.3944714,2016,"37.7578379,-122.39447140000001"
97,Condo/Co-op,200 Brannan St #234,San Francisco,CA,94107,1995000,2,2,South Beach,1892,1054,910,37.7836002,-122.3907074,2004,"37.7836002,-122.3907074"
98,Condo/Co-op,1776 Sacramento St #708,San Francisco,CA,94109,1498000,3,2,Nob Hill,1526,982,890,37.7916183,-122.4220982,1992,"37.791618299999996,-122.42209820000001"
99,Condo/Co-op,338 Spear St Unit 16G,San Francisco,CA,94105,999000,1,1,South Beach,807,1238,891,37.7894137,-122.3906433,2009,"37.789413700000004,-122.3906433"
100,Multi-Family (2-4 Unit),237 San Jose Ave,San Francisco,CA,94110,2800000,11,4.5,Noe Valley,4800,583,,37.7514387,-122.4212597,1904,"37.7514387,-122.42125970000001"
101,Multi-Family (2-4 Unit),170 Pfeiffer St,San Francisco,CA,94133,5400000,6,4.5,Telegraph Hill,,,,37.8048306,-122.4096277,nan,"37.8048306,-122.4096277"
102,Condo/Co-op,301 Main St Unit 7C,San Francisco,CA,94105,2099000,3,2.5,South Beach,1752,1198,1059,37.7895974,-122.3911965,2008,"37.7895974,-122.3911965"
103,Condo/Co-op,72 Townsend St #401,San Francisco,CA,94107,1029000,1,1,South Beach,788,1306,792,37.781388,-122.3903525,2015,"37.781388,-122.39035249999999"
104,Townhouse,232 Friedell St,San Francisco,CA,94124,799999,2,2,Hunters Point,,,271,37.728432,-122.3701131,2016,"37.728432,-122.37011310000001"
105,Condo/Co-op,439 Greenwich St #9,San Francisco,CA,94133,750000,1,1,Telegraph Hill,535,1402,525,37.8023778,-122.4070114,1979,"37.8023778,-122.4070114"
106,Condo/Co-op,456 Carl St,San Francisco,CA,94117,1199000,3,2,Parnassus/Ashbury Heights,1271,943,485,37.765018,-122.4569962,1990,"37.765018,-122.4569962"
107,Townhouse,77 Dow Pl #711,San Francisco,CA,94107,1025000,1,1.5,Yerba Buena,1293,793,896,37.7841561,-122.3966189,2002,"37.7841561,-122.3966189"
108,Condo/Co-op,2100 Green St #704,San Francisco,CA,94123,3495000,2,2,Pacific Heights,1866,1873,1618,37.7965894,-122.4339807,1928,"37.796589399999995,-122.4339807"
109,Single Family Residential,124 Miguel St,San Francisco,CA,94131,1395000,2,2,Glen Park,1550,900,,37.7379423,-122.4286419,1903,"37.73794229999999,-122.4286419"
110,Single Family Residential,627 16th Ave,San Francisco,CA,94118,1350000,3,1,Central Richmond,2076,650,,37.776172,-122.475109,1918,"37.776171999999995,-122.475109"
111,Single Family Residential,3467 Pacific Ave,San Francisco,CA,94118,8950000,6,6,Presidio Heights,5625,1591,,37.7908948,-122.4520759,1909,"37.7908948,-122.45207590000001"
112,Single Family Residential,109 Joost Ave,San Francisco,CA,94131,1028000,2,1,Sunnyside,903,1138,,37.7322456,-122.4378105,1923,"37.7322456,-122.4378105"
113,Condo/Co-op,555 4th St #913,San Francisco,CA,94107,1288000,2,2,South Beach,907,1420,664,37.7794218,-122.3967124,2006,"37.7794218,-122.39671240000001"
114,Condo/Co-op,99 Rausch St #320,San Francisco,CA,94103,659000,0,1,South of Market,,,515,37.7762348,-122.4090223,2017,"37.7762348,-122.4090223"
115,Condo/Co-op,52 Innes Ct #203,San Francisco,CA,94124,649888,1,1,Hunters Point,670,970,460,37.7276224,-122.3674287,2017,"37.7276224,-122.3674287"
116,Condo/Co-op,175 Red Rock Way Unit 207K,San Francisco,CA,94131,529000,0,1,Diamond Heights,592,894,492,37.745807,-122.442069,1972,"37.745807,-122.44206899999999"
117,Condo/Co-op,1047 Mississippi St #9,San Francisco,CA,94107,949000,1,1.5,Potrero Hill,1385,685,526,37.7531638,-122.3933731,2001,"37.753163799999996,-122.39337309999999"
118,Single Family Residential,320 Ocean Ave,San Francisco,CA,94112-2532,1498888,5,3,Mission Terrace,2432,616,,37.7232378,-122.4436053,1931,"37.7232378,-122.4436053"
119,Single Family Residential,715 Foerster St,San Francisco,CA,94127,1735000,4,2.5,Miraloma Park,1909,909,25,37.734141,-122.449219,1960,"37.734140999999994,-122.449219"
120,Condo/Co-op,501 Crescent Way #5107,San Francisco,CA,94134,728000,2,2,Candlestick Point,1095,665,540,37.7119288,-122.3886055,2006,"37.711928799999995,-122.3886055"
121,Condo/Co-op,875 Indiana St #324,San Francisco,CA,94107,975000,1,1.5,Central Waterfront,852,1144,523,37.7596716,-122.3908629,2009,"37.759671600000004,-122.3908629"
122,Single Family Residential,,San Francisco,CA,94124,925000,3,1,Bayview,1155,801,,37.7315866,-122.3860899,1961,"37.73158660000001,-122.3860899"
123,Single Family Residential,1710 Diamond St,San Francisco,CA,94131,4498800,4,3.5,Noe Valley,3645,1234,,37.7438471,-122.4358179,2014,"37.7438471,-122.4358179"
124,Condo/Co-op,235 Berry St #201,San Francisco,CA,94158,899000,1,1,Mission Bay,840,1070,689,37.774703,-122.3940893,2007,"37.774703,-122.39408929999999"
125,Single Family Residential,1 Byron Ct,San Francisco,CA,94112,1388000,4,3,Crocker Amazon,2003,693,,37.7096358,-122.4433842,1978,"37.709635799999994,-122.4433842"
126,Single Family Residential,439 E Princeton St,San Francisco,CA,94134,999000,4,2.5,Portola,1306,765,,37.7243406,-122.4140636,1949,"37.724340600000005,-122.41406359999999"
127,Condo/Co-op,3731 Fillmore St #6,San Francisco,CA,94123,995000,1,1,Marina,792,1256,430,37.8049149,-122.4375445,1928,"37.8049149,-122.4375445"
128,Single Family Residential,4118 20th St,San Francisco,CA,94114,3350000,4,3.5,Eureka Valley/Dolore,2287,1465,,37.7579691,-122.4329885,1905,"37.7579691,-122.43298850000001"
129,Single Family Residential,532 Lyon St,San Francisco,CA,94117,4695000,5,4.5,North Panhandle,3919,1198,,37.7758013,-122.4427128,1904,"37.7758013,-122.44271280000001"
130,Condo/Co-op,1140 Page St,San Francisco,CA,94117,2289000,3,2,Haight Ashbury,1850,1237,510,37.7721199,-122.4395674,2012,"37.7721199,-122.43956740000002"
131,Condo/Co-op,750 Lake St,San Francisco,CA,94118,1895000,2,2,Lake,,,,37.7867156,-122.4677246,nan,"37.7867156,-122.46772460000001"
132,Single Family Residential,137 Ashton Ave,San Francisco,CA,94112,1595000,3,2.5,Merced Heights,1605,994,,37.7207164,-122.4624475,1924,"37.7207164,-122.46244750000001"
133,Condo/Co-op,1832 Page St #2,San Francisco,CA,94117,995000,2,2,Haight Ashbury,990,1005,409,37.7706724,-122.4510696,1900,"37.7706724,-122.4510696"
134,Condo/Co-op,3395 Market St,San Francisco,CA,94114,825000,1,1,Eureka Valley/Dolore,742,1112,396,37.7579936,-122.4430826,1906,"37.7579936,-122.44308259999998"
135,Single Family Residential,1089 Clayton St,San Francisco,CA,94117,2190000,3,2,Buena Vista Park,1615,1356,,37.7627947,-122.4471883,1941,"37.76279470000001,-122.4471883"
136,Condo/Co-op,1 Hawthorne St Unit 6J,San Francisco,CA,94105,1395000,2,2,Yerba Buena,1247,1119,1269,37.7857356,-122.3989521,2010,"37.7857356,-122.39895209999999"
137,Single Family Residential,326 Brunswick St,San Francisco,CA,94112,1498000,4,3,Crocker Amazon,,,,37.7112595,-122.4416479,1942,"37.7112595,-122.4416479"
138,Single Family Residential,40 Hanover St,SAN FRANCISCO,CA,94112,998000,2,1,SAN FRANCISCO,818,1220,,37.7101765,-122.440283,1946,"37.7101765,-122.44028300000001"
139,Condo/Co-op,471 Jersey St,San Francisco,CA,94114,1779000,3,1.5,Noe Valley,1555,1144,400,37.7501559,-122.435556,1923,"37.7501559,-122.435556"
140,Townhouse,1736 A 20th Ave,San Francisco,CA,94122,1450000,3,3,Central Sunset,2225,652,270,37.755423,-122.477333,2001,"37.755423,-122.477333"
141,Multi-Family (2-4 Unit),243-245 Corbett Ave,San Francisco,CA,94114,1998000,4,4,Corona Heights,2868,697,,37.7612334,-122.4436419,1975,"37.761233399999995,-122.4436419"
142,Condo/Co-op,2049 Ellis St,San Francisco,CA,94115,1595000,3,2,Anza Vista,2001,797,305,37.7811329,-122.439895,1902,"37.781132899999996,-122.43989499999999"
143,Multi-Family (2-4 Unit),5139-5141 Geary Blvd,San Francisco,CA,94118,1995000,4,4.5,Central Richmond,3180,627,,37.7802735,-122.4746988,1921,"37.7802735,-122.47469879999998"
144,Single Family Residential,27 Starview Way,San Francisco,CA,94131,1395000,2,1,Midtown Terrace,1062,1314,,37.7500012,-122.4517442,1956,"37.75000120000001,-122.45174420000001"
145,Condo/Co-op,446 Collingwood St,San Francisco,CA,94114,1995000,3,2,Eureka Valley/Dolore,1570,1271,117,37.7552395,-122.4358996,1968,"37.7552395,-122.4358996"
146,Single Family Residential,1374 46th Ave,San Francisco,CA,94122,1098000,8,3,Outer Sunset,2204,498,,37.7609266,-122.5057497,1915,"37.7609266,-122.5057497"
147,Single Family Residential,649 28th St,San Francisco,CA,94131,1700000,2,1,Noe Valley,1138,1494,,37.7445324,-122.4367649,1941,"37.7445324,-122.4367649"
148,Condo/Co-op,1177 California St #1703,San Francisco,CA,94108,638000,0,1,Nob Hill,411,1552,932,37.7910262,-122.4136476,1978,"37.791026200000005,-122.4136476"
149,Condo/Co-op,1000 3rd St #303,San Francisco,CA,94158,1825000,2,2,Mission Bay,1234,1479,928,37.7752125,-122.3902276,2018,"37.7752125,-122.39022759999999"
150,Single Family Residential,133 Cresta Vista Dr,San Francisco,CA,94127,1898000,4,3,Westwood Highlands,2400,791,,37.735655,-122.4567422,1988,"37.735655,-122.45674220000001"
151,Multi-Family (2-4 Unit),337-339 Monterey Blvd,San Francisco,CA,94131,1595000,3,2,Sunnyside,2602,613,,37.7312751,-122.4429435,2016,"37.7312751,-122.44294350000001"
152,Townhouse,1338 Filbert St,San Francisco,CA,94109,3998000,3,3.5,Russian Hill,2751,1453,985,37.800098,-122.4215386,1906,"37.800098,-122.42153859999999"
153,Condo/Co-op,11 High St #203,San Francisco,CA,94114,1398000,2,2,Noe Valley,1208,1157,450,37.7488223,-122.4432005,1980,"37.7488223,-122.44320049999999"
154,Single Family Residential,579 Moscow St,San Francisco,CA,94112,1285000,5,3,Excelsior,2090,615,,37.7183955,-122.4295268,nan,"37.7183955,-122.42952679999999"
155,Multi-Family (5+ Unit),4740 Balboa St,San Francisco,CA,94121,11000000,6,,Outer Richmond,15659,702,,37.775393,-122.509784,1928,"37.775393,-122.50978400000001"
156,Condo/Co-op,445 Francisco St Unit F601,San Francisco,CA,94133,2198000,2,2,North Beach,1311,1677,,37.8046669,-122.4126295,2001,"37.8046669,-122.4126295"
157,Multi-Family (5+ Unit),3830 19th St,San Francisco,CA,94114,2800000,6,,Eureka Valley/Dolore,4740,591,,37.7598626,-122.4290725,1913,"37.7598626,-122.4290725"
